Price,Make,Model,Year,Mileage,Fuel_Type,Transmission,City,Seller_ID,Description
3346256,Toyota,yaris  ,2013,63138.0,Hybrid,,,S1897,Excellent condition
34939116,Honda,City,2006,76950.0,Hybrid,Automatic,Islamabad,S9196,
3570932,Audi,Q5,2025,190685.0,Petrol,Automatic,,S8033,
2781914,Hyundai,i10,2020,223991.0,Hybrid,Manual,Peshawar,S6928,Excellent condition
1235372,Hyundai,Elantra,2007,233419.0,,Automatic,Rawalpindi,S3754,Excellent condition
792209,Kia,Rio,2003,283189.0,,Manual,Islamabad,S3399,First owner
3852384,Honda,Civic,2019,85147.0,Petrol,Manual,,S6295,
3273525,Suzuki,Alto,2014,40801.0,Electric,Automatic,,S8565,urgent sale
2667328,Toyota,Corolla,2011,155511.0,Petrol,,Lahore,S1672,urgent sale
3887266,Audi,Q5,2020,,Hybrid,,Peshawar,S6626,
3861672,Toyota,Camry,2020,95470.0,Petrol,Manual,,S5634,urgent sale
2758585,Hyundai,Sonata,2021,318464.0,Petrol,,,S3463,First owner
4336664,Toyota,Camry,2021,79149.0,Hybrid,Automatic,,S7171,
999068,Audi,A4,2004,,Petrol,,,S6598,urgent sale
2061176,Honda??,Civic,2004,86235.0,Petrol,Automatic,Lahore,S6517,
3145727,Honda,Accord,2012,85872.0,Diesel,Manual,,S4891,urgent sale
3482665,Kia,Picanto,2024,240367.0,Diesel,,Karachi,S8218,urgent sale
3503875,Audi,A4,2024,205211.0,,,Peshawar,S8873,First owner
2910674,Kia,Sportage,2022,275485.0,Petrol,Automatic,Lahore,S4637,urgent sale
3122626,Suzuki,Alto,2013,32921.0,Electric,,Islamabad,S2623,
4567549,BMW,X1,2025,81571.0,Diesel,Manual,Islamabad,S1086,Excellent condition
2336453,Toyota,Yaris,2006,83391.0,,,Rawalpindi,S4906,urgent sale
42389376,BMW??,X3,2014,37929.0,Petrol,Automatic,Rawalpindi,S6780,Need minor work
2382183,Kia??,Picanto,2005,49886.0,,Automatic,Lahore,S8702,Excellent condition
2471626,BMW,X1,2011,137985.0,Petrol,Automatic,Lahore,S6447,Need minor work
3336688,Toyota,Yaris,2017,182496.0,Diesel,,Peshawar,S8498,Excellent condition
1592523,Suzuki??,Alto,2001,109579.0,Petrol,Automatic,Islamabad,S4131,First owner
3443056,Suzuki,Alto,2020,179024.0,Hybrid,Manual,Islamabad,S4060,urgent sale
1858870,BMW,X1,2011,277250.0,Hybrid,Manual,,S6262,Excellent condition
3952524,Toyota,Yaris,2021,160000.0,Hybrid,Automatic,Rawalpindi,S6776,
4130582,Hyundai,Sonata,2020,35072.0,Petrol,,,S3339,
1628223,BMW,x1  ,2001,71180.0,Petrol,Manual,,S8371,First owner
4518224,Suzuki,Cultus,2024,45310.0,,Manual,Rawalpindi,S4048,urgent sale
3654251,Kia,Picanto,2017,66740.0,Hybrid,Automatic,,S4279,Excellent condition
3017507,Honda,Civic,2014,95521.0,Electric,Manual,,S5914,Need minor work
2658444,BMW,X3,2022,339338.0,Diesel,Automatic,Rawalpindi,S1430,First owner
1640128,Kia,Rio,2011,250055.0,,Manual,Rawalpindi,S7730,urgent sale
1838297,Audi,Q5,2002,70707.0,Hybrid,,Lahore,S3981,Need minor work
1422175,Hyundai,i10,2001,70096.0,,Manual,Islamabad,S9501,First owner
2555793,Audi,A3,2008,107918.0,,Automatic,Karachi,S3526,Need minor work
2658416,BMW,X3,2023,322267.0,Hybrid,,Lahore,S4453,
4079352,Hyundai,i10,2020,20878.0,Electric,,Rawalpindi,S7653,First owner
4445719,Hyundai,Elantra,2022,36411.0,Diesel,Automatic,Peshawar,S6231,
2663546,Audi,A4,2012,73559.0,Hybrid,,Rawalpindi,S2586,Excellent condition
3244633,Suzuki,Cultus,2019,224223.0,Diesel,Manual,Islamabad,S8648,urgent sale
1471367,Suzuki,Cultus,2000,52211.0,Electric,,Peshawar,S8710,First owner
1068895,Kia,Sportage,2003,230930.0,Diesel,Automatic,,S4189,First owner
975518,Kia,Picanto,2002,207558.0,,Automatic,Rawalpindi,S2584,urgent sale
3070438,Suzuki,cultus  ,2017,,Diesel,Manual,Rawalpindi,S8761,
2717637,Hyundai,Elantra,2019,275273.0,Diesel,Automatic,Rawalpindi,S6511,
2228345,Audi,Q5,2017,261820.0,,Automatic,Peshawar,S1436,
2392414,Hyundai,Sonata,2020,308287.0,,Manual,,S7229,Need minor work
36184365,Audi,Q5,2007,21552.0,,,Lahore,S9221,
4639867,Hyundai,i10,2023,37653.0,Diesel,,Karachi,S3837,urgent sale
2767863,Kia,Picanto,2017,190748.0,Hybrid,,Peshawar,S5876,First owner
3400823,BMW,320i,2022,261378.0,Hybrid,Automatic,Islamabad,S9899,urgent sale
4699856,Hyundai,Sonata,2024,81795.0,Hybrid,Manual,Islamabad,S4505,Need minor work
1587289,Audi,Q5,2008,299659.0,Hybrid,Manual,Lahore,S4697,
836988,Honda,Civic,2003,221688.0,Hybrid,,Peshawar,S3587,urgent sale
1848934,BMW,X1,2015,346069.0,Diesel,Automatic,Islamabad,S9767,
1478987,BMW,320i,2005,224092.0,Diesel,Manual,Peshawar,S1613,Excellent condition
4126184,Suzuki,Swift,2019,61256.0,Hybrid,Automatic,Peshawar,S8668,First owner
2982539,Honda,Civic,2010,90193.0,Electric,,Islamabad,S4164,Need minor work
2194109,Kia,Rio,2012,229239.0,,Automatic,Lahore,S5064,Excellent condition
1734664,Suzuki,Cultus,2007,,Hybrid,Automatic,Islamabad,S2017,
2854048,Toyota,Yaris,2009,88737.0,Electric,,Rawalpindi,S7021,
1316638,Honda,Civic,2004,255705.0,Diesel,Automatic,,S4578,Need minor work
4978337,BMW,X3,2025,47923.0,,Automatic,Rawalpindi,S9281,Need minor work
1625566,Kia,Rio,2004,91264.0,Hybrid,,Peshawar,S8298,Excellent condition
2871931,Hyundai,Elantra,2016,222802.0,Electric,,Lahore,S1049,
1643137,Honda,Accord,2002,,Electric,Automatic,,S8734,Excellent condition
2170310,Suzuki,Cultus,2005,76003.0,Electric,Automatic,Peshawar,S9835,Need minor work
1480678,BMW??,x1  ,2003,98571.0,,Automatic,Rawalpindi,S5888,urgent sale
2642710,BMW,X3,2017,227365.0,,Automatic,Karachi,S2848,Excellent condition
1473579,Audi,Q5,2013,,Petrol,Manual,Karachi,S1797,Need minor work
2535320,BMW,320i,2012,,Diesel,,Karachi,S6224,
2580546,Kia,Rio,2010,129205.0,Hybrid,Manual,,S3869,
2899713,BMW,X1,2017,264848.0,Petrol,Automatic,,S5913,urgent sale
2774683,Honda,Accord,2015,131336.0,Diesel,Automatic,,S9683,Need minor work
2353600,Hyundai,Elantra,2008,111607.0,Hybrid,,Lahore,S5398,urgent sale
4390819,BMW,X3,2019,25734.0,Petrol,Manual,Rawalpindi,S5967,Excellent condition
4541225,Honda,Civic,2023,66507.0,Electric,Manual,,S5637,urgent sale
3450952,Hyundai,i10,2020,193355.0,Hybrid,Automatic,Islamabad,S6246,Need minor work
54867078,Suzuki,Cultus,2013,28968.0,,Manual,,S5026,urgent sale
3762965,Kia,Rio,2021,181980.0,Hybrid,Automatic,,S3293,
711766,Kia,Picanto,2005,289235.0,Petrol,,Lahore,S4791,Excellent condition
945026,BMW,320i,2000,119672.0,,Automatic,Islamabad,S8993,Excellent condition
3173978,Toyota,camry  ,2017,220659.0,Petrol,Manual,Rawalpindi,S8054,Need minor work
3536704,Toyota,Corolla,2016,83065.0,Diesel,Manual,Rawalpindi,S7652,urgent sale
4188421,Kia,sportage  ,2022,123414.0,Hybrid,,Lahore,S7179,
4285217,Hyundai,Elantra,2020,9954.0,Diesel,Manual,Peshawar,S9653,Excellent condition
2687169,Honda,Civic,2022,302158.0,Electric,Automatic,Lahore,S3938,First owner
3407356,Toyota,Corolla,2018,80597.0,Electric,Manual,Islamabad,S9856,First owner
1785714,Hyundai,i10,2004,46118.0,,,Islamabad,S7499,First owner
1813812,Toyota,Camry,2008,241218.0,Electric,Manual,Islamabad,S2404,
4300768,Suzuki,Alto,2022,43538.0,Petrol,Automatic,Karachi,S2745,Excellent condition
2283037,Toyota,Yaris,2014,193700.0,Hybrid,Manual,Karachi,S1430,Excellent condition
200000,Suzuki,Swift,2002,317960.0,,Automatic,Peshawar,S4977,
3292694,Kia,Sportage,2021,204613.0,Diesel,Manual,Islamabad,S5911,urgent sale
2635071,Audi,A3,2011,136963.0,Diesel,,,S7483,First owner
2713791,Audi,Q5,2012,177774.0,Electric,Automatic,Peshawar,S4290,urgent sale
2713791,Audi,Q5,2012,177774.0,Electric,Automatic,Peshawar,S4290,urgent sale
2722046,Suzuki,Alto,2012,172320.0,Hybrid,,,S7437,First owner
22787365,Toyota,Camry,2006,315497.0,,Manual,,S2133,urgent sale
965408,BMW,X1,2004,337050.0,Hybrid,Manual,Islamabad,S8851,
3014166,Hyundai,i10,2016,224310.0,,Manual,Islamabad,S5067,
1035294,BMW,X1,2005,344214.0,,Manual,Rawalpindi,S8052,Excellent condition
2418138,Toyota,Corolla,2008,121392.0,,,Rawalpindi,S9199,Need minor work
3102642,Suzuki,Alto,2015,59813.0,Hybrid,Automatic,Lahore,S4389,
3473515,Hyundai,Sonata,2015,56182.0,Electric,,,S6620,
4602879,Toyota,Camry,2025,91168.0,Diesel,,Karachi,S7636,
2905117,Honda,Civic,2020,349618.0,Electric,Automatic,Lahore,S4519,Need minor work
4487036,Suzuki,Swift,2025,37801.0,,Manual,Rawalpindi,S9019,
2835991,BMW,X1,2019,208758.0,,Automatic,Rawalpindi,S5873,
3944079,Kia,Sportage,2021,75227.0,Hybrid,Manual,Karachi,S3258,
960874,Hyundai,Sonata,2005,260155.0,,,,S8389,
773491,Toyota,Yaris,2000,259074.0,Diesel,Manual,Peshawar,S8272,urgent sale
3822309,Honda,Civic,2018,21179.0,Diesel,Automatic,Lahore,S9115,
3883988,Kia,Sportage,2018,,Hybrid,,Islamabad,S7965,Excellent condition
3961696,BMW,X3,2024,134777.0,Hybrid,Manual,Peshawar,S4882,Need minor work
2869889,Audi,Q5,2018,188831.0,,,Peshawar,S6747,
3356997,Suzuki,Swift,2017,93278.0,Hybrid,,Islamabad,S2560,Need minor work
1109820,Audi,A4,2001,150397.0,Diesel,,Karachi,S7434,urgent sale
3229759,Honda,Accord,2020,145885.0,Electric,Automatic,Peshawar,S5558,
2494701,Suzuki,Cultus,2015,176593.0,,Manual,,S2037,
2757013,Hyundai,Elantra,2013,116071.0,Electric,Automatic,Islamabad,S6631,
1479632,Audi,A3,2001,,Electric,Manual,Lahore,S3161,
2560221,Suzuki,Alto,2008,53937.0,Hybrid,Automatic,Lahore,S4836,urgent sale
3927209,BMW??,320i,2022,54903.0,Petrol,Manual,Peshawar,S6629,Excellent condition
4150192,Audi,A4,2022,74297.0,Electric,Manual,Karachi,S5902,Need minor work
3489406,Hyundai,Elantra,2020,79896.0,Petrol,,Rawalpindi,S3480,urgent sale
3354506,Kia,Rio,2014,118898.0,Petrol,Manual,Karachi,S3290,Need minor work
1800661,Suzuki,Swift,2002,135110.0,,,Rawalpindi,S5942,Need minor work
2937694,Kia,Rio,2016,103905.0,Electric,Automatic,,S4949,urgent sale
448524,BMW,X3,2002,281974.0,Petrol,Automatic,Islamabad,S3830,urgent sale
1200000,Audi,A3,2000,312947.0,Petrol,Manual,Islamabad,S9209,urgent sale
2839022,Hyundai,i10,2012,48215.0,,,Rawalpindi,S3545,
2410977,Suzuki,Cultus,2018,337552.0,Petrol,Automatic,,S8118,Excellent condition
4280767,Hyundai,i10,2019,33850.0,Hybrid,,,S3684,urgent sale
3481597,Suzuki,Swift,2016,140920.0,Diesel,Automatic,Karachi,S1480,First owner
1646413,Audi,A4,2008,279650.0,Petrol,Automatic,,S3734,First owner
4186181,Honda,city  ,2024,58951.0,,,,S5006,Excellent condition
3250270,Hyundai,Sonata,2012,83687.0,Diesel,Manual,Rawalpindi,S6241,First owner
2692940,Audi,A3,2018,200458.0,Petrol,,,S2129,urgent sale
43994038,Audi,A4,2024,167895.0,Hybrid,Manual,Rawalpindi,S4974,urgent sale
2749402,Suzuki,Swift,2015,,,Manual,Karachi,S1157,First owner
2338616,Toyota,Camry,2012,166224.0,Petrol,Manual,Rawalpindi,S5584,Excellent condition
2381226,Toyota,Corolla,2016,221560.0,Hybrid,Automatic,,S2020,urgent sale
2265154,BMW,320i,2007,157922.0,Hybrid,Automatic,Peshawar,S4321,Need minor work
1896299,Audi,Q5,2003,86479.0,Petrol,Manual,Peshawar,S8404,First owner
2316906,Hyundai,Sonata,2003,,Diesel,,Islamabad,S2494,
1821804,Honda,City,2012,274200.0,Petrol,,Islamabad,S5093,Excellent condition
4321631,Hyundai,Elantra,2025,78291.0,Petrol,Manual,Lahore,S2376,
2102826,Kia,Picanto,2002,16429.0,Petrol,Manual,,S3007,Excellent condition
19274868,Hyundai,Elantra,2005,305880.0,Electric,,Peshawar,S5585,urgent sale
2421310,Honda,Civic,2019,329626.0,,Manual,,S7275,Need minor work
2497088,Hyundai,Elantra,2020,280678.0,Diesel,,Rawalpindi,S8940,First owner
1971252,Kia,Rio,2010,,Hybrid,Manual,Lahore,S8728,
2129422,Suzuki,Swift,2007,88689.0,Petrol,Manual,,S4594,
2653076,Audi??,A4,2011,96075.0,Diesel,Manual,Rawalpindi,S6761,
3305644,Kia,Sportage,2018,103688.0,Electric,,Islamabad,S9625,urgent sale
3392955,Toyota??,Yaris,2019,110625.0,Diesel,Automatic,,S3320,Excellent condition
2999677,Audi,Q5,2011,43027.0,Hybrid,,,S8157,
2572498,Hyundai,i10,2010,96332.0,,,Rawalpindi,S5825,Need minor work
200000,Honda,Accord,2000,305330.0,Electric,,Lahore,S2705,urgent sale
4187077,Honda,City,2023,45793.0,Diesel,Automatic,Islamabad,S6500,urgent sale
1634127,Toyota,Yaris,2006,,Petrol,Automatic,Islamabad,S3725,urgent sale
1949770,Hyundai,Sonata,2011,291273.0,Electric,Manual,Peshawar,S1547,First owner
2534166,Toyota,Yaris,2008,,Petrol,Automatic,Karachi,S6536,
4650573,Kia,Picanto,2022,21249.0,Electric,,Karachi,S4112,urgent sale
3110942,BMW,X3,2023,,Hybrid,,Islamabad,S3516,Excellent condition
3414661,Suzuki,Alto,2013,50942.0,Hybrid,,,S2342,urgent sale
1770942,Audi,A3,2009,213387.0,Electric,Automatic,,S7052,Need minor work
1543857,Hyundai,Elantra,2008,235550.0,Electric,Automatic,Karachi,S6632,
1282737,Hyundai,i10,2007,295246.0,Petrol,Automatic,Rawalpindi,S4860,urgent sale
3403210,Suzuki,Alto,2012,23207.0,,,Rawalpindi,S3832,Need minor work
2279672,Honda,Civic,2004,27374.0,Electric,Manual,,S6238,
1019593,Audi??,A3,2002,208475.0,,Automatic,Rawalpindi,S9561,urgent sale
2341721,Toyota,Yaris,2004,82699.0,,,Rawalpindi,S5687,
24789700,Suzuki,Cultus,2008,205825.0,Electric,,Rawalpindi,S7581,Excellent condition
3753836,Hyundai,Sonata,2022,,Petrol,,Peshawar,S5593,urgent sale
4497380,Audi,Q5,2021,56494.0,Diesel,Manual,Islamabad,S2462,Need minor work
2285319,Hyundai,Elantra,2013,,,Automatic,Lahore,S9589,
2285319,Hyundai,Elantra,2013,,,Automatic,Lahore,S9589,
2127431,Toyota,Corolla,2006,110238.0,Petrol,Manual,Lahore,S8605,
2357784,Hyundai,i10,2003,21023.0,Diesel,Automatic,Peshawar,S6640,Need minor work
4030107,Audi,A4,2023,52391.0,Hybrid,Manual,Peshawar,S4688,
2790835,Honda,City,2020,219699.0,,Manual,,S4666,First owner
2775743,Kia,Picanto,2022,341981.0,Hybrid,Automatic,Peshawar,S7506,
3032615,Toyota,Corolla,2016,201204.0,,,Rawalpindi,S5529,
1237446,Suzuki,Cultus,2008,348995.0,Hybrid,Manual,Karachi,S7620,
2307172,Suzuki,Swift,2004,18345.0,Electric,Automatic,Islamabad,S4111,First owner
1425448,BMW,X3,2007,285302.0,Electric,,Islamabad,S5813,Excellent condition
3888896,Hyundai,Elantra,2023,140608.0,,Manual,,S7889,First owner
2900449,Suzuki,Cultus,2018,159167.0,Electric,Manual,Peshawar,S4187,
1664167,Toyota,Camry,2012,282787.0,Hybrid,Automatic,Lahore,S8496,Need minor work
2028573,Suzuki,Swift,2005,,Electric,Automatic,,S3762,
3688464,Audi??,A3,2015,51159.0,Diesel,,Peshawar,S9745,Need minor work
15839532,BMW,X1,2000,173932.0,,Manual,Lahore,S2682,urgent sale
2402125,Kia,Rio,2009,92566.0,Petrol,Manual,Islamabad,S3192,First owner
4080568,Hyundai??,Sonata,2024,103789.0,Diesel,Automatic,Lahore,S9267,Need minor work
2657864,Toyota,Yaris,2022,346070.0,Petrol,Automatic,,S2771,
1401063,Audi,A3,2001,65707.0,Electric,Automatic,Peshawar,S1152,First owner
1185809,Hyundai,i10,2003,277791.0,Hybrid,,Rawalpindi,S2928,First owner
3282818,Toyota,Corolla,2015,109148.0,,Manual,Islamabad,S9980,urgent sale
3092603,Honda,Accord,2015,178331.0,Diesel,Manual,Lahore,S2475,
4428413,Toyota,Camry,2023,58105.0,Hybrid,,Karachi,S3862,Excellent condition
2054873,Audi,a4  ,2011,168948.0,Electric,,Lahore,S3793,First owner
3223397,Suzuki,Cultus,2019,145671.0,Petrol,Automatic,Islamabad,S8835,urgent sale
1903866,BMW,320i,2003,74474.0,Petrol,Manual,Lahore,S7221,First owner
4063757,Kia??,Sportage,2021,,Electric,Automatic,Lahore,S9598,
3749513,Kia,Rio,2018,122432.0,Hybrid,,Rawalpindi,S6664,
2517525,BMW,X3,2012,82937.0,,,Lahore,S3709,Excellent condition
2555073,Audi,A4,2010,131296.0,Hybrid,Automatic,Lahore,S8521,urgent sale
3028738,Audi,q5  ,2014,51147.0,Electric,Automatic,Islamabad,S1587,
644150,Kia,Sportage,2002,321776.0,,,Islamabad,S1889,Need minor work
1938070,Audi,A4,2010,298680.0,,,Peshawar,S4633,Excellent condition
3825786,Suzuki,Cultus,2020,158083.0,,,Islamabad,S7704,Excellent condition
2162617,Suzuki,Swift,2006,103326.0,Petrol,Automatic,Karachi,S1761,
3909932,Audi,Q5,2018,69602.0,Electric,Automatic,,S1795,
2104525,Hyundai,i10,2015,271512.0,Diesel,,Rawalpindi,S6273,
3392723,Hyundai,Sonata,2019,135148.0,Hybrid,Automatic,Islamabad,S9393,First owner
2882752,Audi,Q5,2017,169579.0,,,Karachi,S3173,
2750625,BMW,320i,2016,289421.0,Hybrid,,Lahore,S7839,
1454239,BMW,X3,2009,,Petrol,,Lahore,S3636,First owner
1806260,BMW,X1,2004,37523.0,Hybrid,Manual,Rawalpindi,S4675,
2998756,BMW,X3,2012,129568.0,,,Islamabad,S6122,
3792629,Toyota,Corolla,2023,136775.0,Diesel,,Peshawar,S9955,
4543579,Kia,Sportage,2024,106448.0,Hybrid,Automatic,Karachi,S1665,urgent sale
2079959,Suzuki,Swift,2008,73192.0,Diesel,,Islamabad,S6285,
3321024,Toyota,Camry,2019,162891.0,Electric,,Rawalpindi,S9529,Excellent condition
1061076,Audi,Q5,2005,223067.0,,,Peshawar,S5809,Need minor work
2250489,Audi,Q5,2016,253961.0,,,Lahore,S4994,Excellent condition
3356943,BMW,X1,2012,64440.0,Electric,Automatic,Rawalpindi,S9335,urgent sale
